id,nome,contrib_open_source,programa_hobby,salario,sistema_operacional_id,pais_id,empresa_id
52782,respondent_52782,Yes,Yes,0.0,3,134,6
18318,respondent_18318,Yes,Yes,17640.94,1,128,4
56160,respondent_56160,No,Yes,0.0,1,86,8
69487,respondent_69487,No,Yes,0.0,2,92,7
84389,respondent_84389,Yes,Yes,47716.44,2,50,3
38012,respondent_38012,No,No,0.0,4,13,4
87211,respondent_87211,Yes,No,2118.36,4,50,0
82579,respondent_82579,Yes,Yes,0.0,2,83,1
86039,respondent_86039,No,No,0.0,1,50,1
93162,respondent_93162,No,Yes,0.0,0,5,8
46352,respondent_46352,No,No,18081.94,4,128,3
14903,respondent_14903,Yes,Yes,3577.59,4,50,2
18319,respondent_18319,No,No,10054.59,4,85,4
60088,respondent_60088,No,No,15876.59,2,128,4
39114,respondent_39114,No,Yes,0.0,3,74,4
54809,respondent_54809,Yes,Yes,22225.0,4,130,7
6747,respondent_6747,Yes,Yes,12045.95,2,95,6
67596,respondent_67596,No,Yes,0.0,4,94,8
59877,respondent_59877,No,Yes,14622.78,1,47,4
6397,respondent_6397,No,Yes,0.0,3,42,6
26840,respondent_26840,No,Yes,14420.85,2,105,5
32008,respondent_32008,Yes,Yes,4754.88,4,17,8
1006,respondent_1006,No,Yes,1790.7,1,50,1
42996,respondent_42996,Yes,Yes,0.0,4,54,8
51127,respondent_51127,Yes,Yes,19845.97,2,128,1
6361,respondent_6361,Yes,Yes,35669.22,4,55,8
52417,respondent_52417,No,Yes,26987.5,1,130,4
13456,respondent_13456,Yes,Yes,35548.25,4,7,2
66325,respondent_66325,No,Yes,0.0,3,94,3
60201,respondent_60201,No,No,1188.4,2,115,8
33316,respondent_33316,Yes,Yes,9505.95,2,17,4
48180,respondent_48180,Yes,Yes,11929.11,2,50,1
73713,respondent_73713,No,Yes,0.0,3,130,2
1549,respondent_1549,No,No,21850.35,1,116,0
45593,respondent_45593,No,Yes,55133.88,2,128,8
75076,respondent_75076,No,Yes,12123.42,2,17,4
54927,respondent_54927,Yes,Yes,53975.0,2,130,6
39525,respondent_39525,Yes,Yes,9702.48,4,128,7
